R.P,Date,Rep,TRT,Path,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
1.10,,85,OR,BR,75,-,95,55,30,40,-,-,80,-,15,30,35,-,-,5,-,-,-,-
1.10,,-,OR,DM,75,5,-,-,65,10,-,50,10,-,95,85,-,65,5,0,-,10,10,-
1.10,,-,OR,PM,80,-,20,-,-,60,40,-,100,-,-,60,60,-,-,-,25,15,15,-
1.10,,5,OR,O,-,-,80,-,-,-,-,25,-,35,85,100,0,40,55,35,-,-,-,25
2.1,,85,PK,BR,-,-,-,-,75,-,-,45,85,-,-,-,-,5,95,45,-,65,35,-
2.1,,90,PK,DM,35,100,-,-,-,-,-,15,50,-,65,75,-,80,100,45,0,-,-,25
2.1,,-,PK,PM,5,70,15,15,-,-,65,0,-,-,-,40,-,15,95,-,-,40,90,0
2.1,,25,PK,O,35,80,-,-,-,-,65,-,-,10,15,-,5,10,25,-,-,65,-,60
2.2,,95,PK,BR,20,55,-,65,5,-,-,55,10,-,45,-,-,35,60,30,80,-,65,-
2.2,,-,PK,DM,45,-,-,-,0,50,75,60,-,0,-,50,-,85,-,-,30,0,65,-
2.2,,65,PK,PM,85,-,-,65,-,25,50,-,30,15,0,60,95,65,40,60,50,75,-,-
2.2,,100,PK,O,85,-,0,-,-,15,-,10,-,-,-,80,-,50,-,-,-,100,90,90
2.3,,-,PK,BR,35,65,-,-,25,5,40,20,-,30,45,75,35,-,-,-,-,20,-,35
2.3,,45,PK,DM,-,-,30,85,-,-,-,65,70,85,-,100,90,-,20,0,-,-,-,10
2.3,,60,PK,PM,-,20,-,-,15,10,-,90,-,-,-,80,-,100,85,85,70,40,85,-
2.3,,70,PK,O,-,25,-,-,55,75,85,90,-,10,95,15,55,-,65,80,-,35,-,-
2.4,,95,PK,BR,55,65,80,20,10,-,-,100,-,-,-,-,40,55,50,95,60,-,35,20
2.4,,-,PK,DM,-,-,5,-,85,-,5,-,30,-,-,-,-,60,-,35,-,65,-,5
2.4,,50,PK,PM,-,-,40,-,30,95,70,-,90,-,-,45,5,-,75,-,-,60,-,0
2.4,,55,PK,O,40,80,60,-,90,5,-,-,50,30,-,-,45,70,90,25,15,-,-,5
2.5,,-,PK,BR,55,20,0,95,95,100,5,-,5,-,80,65,60,-,-,-,80,55,20,-
2.5,,-,PK,DM,-,95,45,0,70,-,85,45,100,10,30,-,5,80,-,-,15,-,25,-
2.5,,100,PK,PM,10,100,0,30,60,-,30,-,50,30,5,65,-,10,-,80,45,40,25,40
2.5,,85,PK,O,-,45,100,-,75,-,-,-,5,100,90,60,-,-,0,45,0,-,-,-
2.6,,65,OR,BR,30,-,20,-,-,-,30,85,70,0,50,75,90,60,60,25,10,-,-,0
2.6,,-,OR,DM,-,20,-,100,10,-,90,-,-,35,-,60,20,5,65,100,100,5,5,90
2.6,,-,OR,PM,-,45,-,-,-,0,85,90,-,-,25,10,30,85,95,45,-,35,85,10
2.6,,75,OR,O,65,-,-,-,-,-,85,30,100,-,30,25,-,-,20,-,-,-,40,80
2.7,,50,OR,BR,95,10,40,35,45,-,-,-,-,60,-,-,100,-,15,-,15,95,-,50
2.7,,-,OR,DM,35,0,50,-,-,75,-,90,90,-,-,-,-,5,-,40,40,35,65,35
2.7,,-,OR,PM,-,-,95,-,-,-,0,-,45,-,80,75,25,45,20,-,10,70,10,40
2.7,,5,OR,O,-,60,80,-,60,10,5,45,0,-,-,-,80,-,50,80,-,-,-,60
2.8,,45,OR,BR,100,85,5,90,70,20,-,-,-,50,25,20,70,-,-,100,-,25,10,85
2.8,,-,OR,DM,5,-,85,-,80,-,10,45,-,75,-,-,40,-,40,85,-,50,-,-
2.8,,-,OR,PM,-,-,-,65,70,-,35,85,70,-,-,90,15,-,-,65,100,-,-,-
2.8,,30,OR,O,-,50,85,-,-,-,-,-,95,-,55,-,-,-,60,-,100,85,35,-
INITIALS:,,,NOTES:,,,,,,,,,,,,,,,,,,,,,
