R.P,Date,Rep,TRT,Path,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
1.1,,-,PK,BR,-,90,40,5,50,35,50,65,20,15,75,-,20,-,25,85,-,10,70,-
1.1,,75,PK,DM,65,-,20,-,0,30,65,-,10,5,-,-,55,-,-,-,-,-,5,-
1.1,,90,PK,PM,-,-,-,-,-,-,-,100,100,80,55,0,-,0,20,-,40,75,-,60
1.1,,-,PK,O,95,60,45,-,15,-,-,-,65,95,-,90,55,65,60,5,-,-,-,75
1.2,,75,PK,BR,0,0,95,30,100,10,55,20,-,30,-,85,85,-,65,85,95,15,-,90
1.2,,20,PK,DM,5,-,-,-,-,65,-,10,30,-,100,55,100,-,15,90,-,-,15,25
1.2,,-,PK,PM,35,10,-,-,20,-,20,0,60,-,60,-,75,30,-,-,5,60,-,55
1.2,,45,PK,O,30,45,100,80,-,20,20,-,-,55,25,70,90,-,-,25,85,-,-,60
1.3,,-,PK,BR,-,85,40,25,80,60,70,15,90,70,-,-,30,65,-,95,5,-,-,0
1.3,,20,PK,DM,-,-,55,-,10,-,60,-,-,65,0,45,60,-,-,-,15,-,25,-
1.3,,40,PK,PM,-,40,-,40,80,85,45,-,-,-,-,10,-,10,100,65,75,-,-,-
1.3,,30,PK,O,-,5,0,-,5,-,60,-,-,0,-,-,95,-,15,100,85,-,45,75
1.4,,75,PK,BR,-,65,10,-,-,60,95,-,75,90,-,65,90,75,0,-,90,-,-,25
1.4,,60,PK,DM,70,-,45,65,-,-,-,25,30,60,75,75,25,60,85,45,15,15,65,-
1.4,,65,PK,PM,70,70,-,70,85,80,20,70,10,50,60,-,25,75,55,60,95,35,55,40
1.4,,5,PK,O,-,-,80,-,-,-,20,-,0,-,70,-,65,15,-,70,35,55,-,-
1.5,,85,PK,BR,-,85,10,35,80,-,45,15,-,30,-,-,65,60,95,95,90,20,80,-
1.5,,-,PK,DM,20,30,15,90,80,-,-,100,10,15,-,65,-,40,-,-,15,-,-,-
1.5,,75,PK,PM,-,75,-,-,45,15,-,90,-,-,25,-,85,50,55,50,20,65,60,0
1.5,,-,PK,O,-,40,75,-,35,-,-,-,15,30,0,-,-,-,60,55,60,80,95,-
1.6,,-,OR,BR,0,-,-,60,-,-,30,-,10,-,60,-,10,85,30,-,70,-,95,-
1.6,,-,OR,DM,10,-,-,35,-,15,100,15,-,-,-,-,-,-,-,-,40,-,10,60
1.6,,-,OR,PM,100,85,5,90,70,20,-,-,-,50,25,20,70,-,-,100,-,25,10,85
1.6,,85,OR,O,5,-,85,-,80,-,10,45,-,75,-,-,40,-,40,85,-,50,-,-
1.7,,-,OR,BR,-,-,-,65,70,-,35,85,70,-,-,90,15,-,-,65,100,-,-,-
1.7,,-,OR,DM,-,50,85,-,-,-,-,-,95,-,55,-,-,-,60,-,100,85,35,-
1.7,,65,OR,PM,20,5,45,35,-,-,-,-,100,15,70,100,60,80,80,-,-,60,-,-
1.7,,80,OR,O,-,-,-,0,55,20,-,-,-,-,-,-,80,5,45,75,-,55,-,10
1.8,,80,OR,BR,65,70,-,50,75,90,-,10,70,30,15,40,35,-,-,50,0,25,-,100
1.8,,40,OR,DM,-,0,40,100,-,50,85,20,90,-,45,-,-,45,-,-,70,-,95,-
1.8,,-,OR,PM,10,30,65,100,85,95,-,-,-,35,50,65,55,40,10,-,30,95,25,-
1.8,,10,OR,O,30,60,45,75,35,-,10,20,65,0,-,-,30,0,-,5,-,75,-,90
1.9,,-,OR,BR,35,100,-,-,-,-,-,15,50,-,65,75,-,80,100,45,0,-,-,25
1.9,,55,OR,DM,5,70,15,15,-,-,65,0,-,-,-,40,-,15,95,-,-,40,90,0
1.9,,75,OR,PM,35,80,-,-,-,-,65,-,-,10,15,-,5,10,25,-,-,65,-,60
1.9,,-,OR,O,20,55,-,65,5,-,-,55,10,-,45,-,-,35,60,30,80,-,65,-
INITIALS:,,,NOTES:,,,,,,,,,,,,,,,,,,,,,
