dynamic/0/R.P,R.P,1.10
dynamic/0/Rep,Rep,85
dynamic/0/TRT,TRT,OR
dynamic/0/Path,Path,BR
dynamic/0/L1,L1,75
dynamic/0/L2,L2,-
dynamic/0/L3,L3,95
dynamic/0/L4,L4,55
dynamic/0/L5,L5,30
dynamic/0/L6,L6,40
dynamic/0/L7,L7,-
dynamic/0/L8,L8,-
dynamic/0/L9,L9,80
dynamic/0/L10,L10,-
dynamic/0/L11,L11,15
dynamic/0/L12,L12,30
dynamic/0/L13,L13,35
dynamic/0/L14,L14,-
dynamic/0/L15,L15,-
dynamic/0/L16,L16,5
dynamic/0/L17,L17,-
dynamic/0/L18,L18,-
dynamic/0/L19,L19,-
dynamic/0/L20,L20,-
dynamic/1/Rep,85,-
dynamic/1/Path,BR,DM
dynamic/1/L2,-,5
dynamic/1/L3,95,-
dynamic/1/L4,55,-
dynamic/1/L5,30,65
dynamic/1/L6,40,10
dynamic/1/L8,-,50
dynamic/1/L9,80,10
dynamic/1/L11,15,95
dynamic/1/L12,30,85
dynamic/1/L13,35,-
dynamic/1/L15,-,5
dynamic/1/L16,5,0
dynamic/1/L18,-,10
dynamic/1/L19,-,10
dynamic/2/Path,DM,PM
dynamic/2/L1,75,80
dynamic/2/L2,5,-
dynamic/2/L5,65,-
dynamic/2/L6,10,60
dynamic/2/L7,-,40
dynamic/2/L8,50,-
dynamic/2/L9,10,100
dynamic/2/L11,95,-
dynamic/2/L12,85,60
dynamic/2/L13,-,60
dynamic/2/L14,65,-
dynamic/2/L15,5,-
dynamic/2/L16,0,-
dynamic/2/L17,-,25
dynamic/2/L18,10,15
dynamic/2/L19,10,15
dynamic/3/Rep,-,5
dynamic/3/Path,PM,O
dynamic/3/L1,80,-
dynamic/3/L3,20,80
dynamic/3/L6,60,-
dynamic/3/L7,40,-
dynamic/3/L8,-,25
dynamic/3/L9,100,-
dynamic/3/L10,-,35
dynamic/3/L11,-,85
dynamic/3/L12,60,100
dynamic/3/L13,60,0
dynamic/3/L14,-,40
dynamic/3/L15,-,55
dynamic/3/L16,-,35
dynamic/3/L17,25,-
dynamic/3/L18,15,-
dynamic/3/L19,15,-
dynamic/3/L20,-,25
dynamic/4/R.P,1.10,2.1
dynamic/4/Rep,5,85
dynamic/4/TRT,OR,PK
dynamic/4/Path,O,BR
dynamic/4/L3,80,-
dynamic/4/L5,-,75
dynamic/4/L8,25,45
dynamic/4/L9,-,85
dynamic/4/L10,35,-
dynamic/4/L11,85,-
dynamic/4/L12,100,-
dynamic/4/L13,0,-
dynamic/4/L14,40,5
dynamic/4/L15,55,95
dynamic/4/L16,35,45
dynamic/4/L18,-,65
dynamic/4/L19,-,35
dynamic/4/L20,25,-
dynamic/5/Rep,85,90
dynamic/5/Path,BR,DM
dynamic/5/L1,-,35
dynamic/5/L2,-,100
dynamic/5/L5,75,-
dynamic/5/L8,45,15
dynamic/5/L9,85,50
dynamic/5/L11,-,65
dynamic/5/L12,-,75
dynamic/5/L14,5,80
dynamic/5/L15,95,100
dynamic/5/L18,65,-
dynamic/5/L19,35,-
dynamic/5/L20,-,25
dynamic/6/Rep,90,-
dynamic/6/Path,DM,PM
dynamic/6/L1,35,5
dynamic/6/L2,100,70
dynamic/6/L3,-,15
dynamic/6/L4,-,15
dynamic/6/L7,-,65
dynamic/6/L8,15,0
dynamic/6/L9,50,-
dynamic/6/L11,65,-
dynamic/6/L12,75,40
dynamic/6/L14,80,15
dynamic/6/L15,100,95
dynamic/6/L16,45,-
dynamic/6/L17,0,-
dynamic/6/L18,-,40
dynamic/6/L19,-,90
dynamic/6/L20,25,0
dynamic/7/Rep,-,25
dynamic/7/Path,PM,O
dynamic/7/L1,5,35
dynamic/7/L2,70,80
dynamic/7/L3,15,-
dynamic/7/L4,15,-
dynamic/7/L8,0,-
dynamic/7/L10,-,10
dynamic/7/L11,-,15
dynamic/7/L12,40,-
dynamic/7/L13,-,5
dynamic/7/L14,15,10
dynamic/7/L15,95,25
dynamic/7/L18,40,65
dynamic/7/L19,90,-
dynamic/7/L20,0,60
dynamic/8/R.P,2.1,2.2
dynamic/8/Rep,25,95
dynamic/8/Path,O,BR
dynamic/8/L1,35,20
dynamic/8/L2,80,55
dynamic/8/L4,-,65
dynamic/8/L5,-,5
dynamic/8/L7,65,-
dynamic/8/L8,-,55
dynamic/8/L9,-,10
dynamic/8/L10,10,-
dynamic/8/L11,15,45
dynamic/8/L13,5,-
dynamic/8/L14,10,35
dynamic/8/L15,25,60
dynamic/8/L17,-,80
dynamic/8/L18,65,-
dynamic/8/L19,-,65
dynamic/8/L20,60,-
dynamic/9/Rep,95,-
dynamic/9/Path,BR,DM
dynamic/9/L1,20,45
dynamic/9/L2,55,-
dynamic/9/L4,65,-
dynamic/9/L5,5,0
dynamic/9/L6,-,50
dynamic/9/L7,-,75
dynamic/9/L8,55,60
dynamic/9/L9,10,-
dynamic/9/L10,-,0
dynamic/9/L11,45,-
dynamic/9/L12,-,50
dynamic/9/L14,35,85
dynamic/9/L15,60,-
dynamic/9/L16,30,-
dynamic/9/L17,80,30
dynamic/9/L18,-,0
dynamic/10/Rep,-,65
dynamic/10/Path,DM,PM
dynamic/10/L1,45,85
dynamic/10/L4,-,65
dynamic/10/L5,0,-
dynamic/10/L6,50,25
dynamic/10/L7,75,50
dynamic/10/L8,60,-
dynamic/10/L9,-,30
dynamic/10/L10,0,15
dynamic/10/L11,-,0
dynamic/10/L12,50,60
dynamic/10/L13,-,95
dynamic/10/L14,85,65
dynamic/10/L15,-,40
dynamic/10/L16,-,60
dynamic/10/L17,30,50
dynamic/10/L18,0,75
dynamic/10/L19,65,-
dynamic/11/Rep,65,100
dynamic/11/Path,PM,O
dynamic/11/L3,-,0
dynamic/11/L4,65,-
dynamic/11/L6,25,15
dynamic/11/L7,50,-
dynamic/11/L8,-,10
dynamic/11/L9,30,-
dynamic/11/L10,15,-
dynamic/11/L11,0,-
dynamic/11/L12,60,80
dynamic/11/L13,95,-
dynamic/11/L14,65,50
dynamic/11/L15,40,-
dynamic/11/L16,60,-
dynamic/11/L17,50,-
dynamic/11/L18,75,100
dynamic/11/L19,-,90
dynamic/11/L20,-,90
dynamic/12/R.P,2.2,2.3
dynamic/12/Rep,100,-
dynamic/12/Path,O,BR
dynamic/12/L1,85,35
dynamic/12/L2,-,65
dynamic/12/L3,0,-
dynamic/12/L5,-,25
dynamic/12/L6,15,5
dynamic/12/L7,-,40
dynamic/12/L8,10,20
dynamic/12/L10,-,30
dynamic/12/L11,-,45
dynamic/12/L12,80,75
dynamic/12/L13,-,35
dynamic/12/L14,50,-
dynamic/12/L18,100,20
dynamic/12/L19,90,-
dynamic/12/L20,90,35
dynamic/13/Rep,-,45
dynamic/13/Path,BR,DM
dynamic/13/L1,35,-
dynamic/13/L2,65,-
dynamic/13/L3,-,30
dynamic/13/L4,-,85
dynamic/13/L5,25,-
dynamic/13/L6,5,-
dynamic/13/L7,40,-
dynamic/13/L8,20,65
dynamic/13/L9,-,70
dynamic/13/L10,30,85
dynamic/13/L11,45,-
dynamic/13/L12,75,100
dynamic/13/L13,35,90
dynamic/13/L15,-,20
dynamic/13/L16,-,0
dynamic/13/L18,20,-
dynamic/13/L20,35,10
dynamic/14/Rep,45,60
dynamic/14/Path,DM,PM
dynamic/14/L2,-,20
dynamic/14/L3,30,-
dynamic/14/L4,85,-
dynamic/14/L6,-,10
dynamic/14/L8,65,90
dynamic/14/L9,70,-
dynamic/14/L10,85,-
dynamic/14/L12,100,80
dynamic/14/L13,90,-
dynamic/14/L14,-,100
dynamic/14/L15,20,85
dynamic/14/L16,0,85
dynamic/14/L17,-,70
dynamic/14/L18,-,40
dynamic/14/L19,-,85
dynamic/14/L20,10,-
dynamic/15/Rep,60,70
dynamic/15/Path,PM,O
dynamic/15/L2,20,25
dynamic/15/L5,5,55
dynamic/15/L6,10,75
dynamic/15/L7,-,85
dynamic/15/L10,-,10
dynamic/15/L11,-,95
dynamic/15/L12,80,15
dynamic/15/L13,-,55
dynamic/15/L14,100,-
dynamic/15/L15,85,65
dynamic/15/L16,85,80
dynamic/15/L17,70,-
dynamic/15/L18,40,35
dynamic/15/L19,85,-
dynamic/16/R.P,2.3,2.4
dynamic/16/Rep,70,95
dynamic/16/Path,O,BR
dynamic/16/L1,-,55
dynamic/16/L2,25,65
dynamic/16/L4,-,20
dynamic/16/L5,55,10
dynamic/16/L6,75,-
dynamic/16/L7,85,-
dynamic/16/L8,90,100
dynamic/16/L10,10,-
dynamic/16/L11,95,-
dynamic/16/L12,15,-
dynamic/16/L13,55,40
dynamic/16/L14,-,55
dynamic/16/L15,65,50
dynamic/16/L16,80,95
dynamic/16/L17,-,60
dynamic/16/L18,35,-
dynamic/16/L19,-,35
dynamic/16/L20,-,20
dynamic/17/Rep,95,-
dynamic/17/Path,BR,DM
dynamic/17/L1,55,-
dynamic/17/L2,65,-
dynamic/17/L3,80,5
dynamic/17/L4,20,-
dynamic/17/L5,10,85
dynamic/17/L7,-,5
dynamic/17/L8,100,-
dynamic/17/L9,-,30
dynamic/17/L13,40,-
dynamic/17/L14,55,60
dynamic/17/L15,50,-
dynamic/17/L16,95,35
dynamic/17/L17,60,-
dynamic/17/L18,-,65
dynamic/17/L19,35,-
dynamic/17/L20,20,5
dynamic/18/Rep,-,50
dynamic/18/Path,DM,PM
dynamic/18/L3,5,40
dynamic/18/L5,85,30
dynamic/18/L6,-,95
dynamic/18/L7,5,70
dynamic/18/L9,30,90
dynamic/18/L12,-,45
dynamic/18/L13,-,5
dynamic/18/L14,60,-
dynamic/18/L15,-,75
dynamic/18/L16,35,-
dynamic/18/L18,65,60
dynamic/18/L20,5,0
dynamic/19/Rep,50,55
dynamic/19/Path,PM,O
dynamic/19/L1,-,40
dynamic/19/L2,-,80
dynamic/19/L3,40,60
dynamic/19/L5,30,90
dynamic/19/L6,95,5
dynamic/19/L7,70,-
dynamic/19/L9,90,50
dynamic/19/L12,45,-
dynamic/19/L13,5,45
dynamic/19/L15,75,90
dynamic/19/L16,-,25
dynamic/19/L17,-,15
dynamic/19/L18,60,-
dynamic/19/L20,0,5
dynamic/20/R.P,2.4,2.5
dynamic/20/Rep,55,-
dynamic/20/Path,O,BR
dynamic/20/L1,40,55
dynamic/20/L2,80,20
dynamic/20/L3,60,0
dynamic/20/L4,-,95
dynamic/20/L5,90,95
dynamic/20/L6,5,100
dynamic/20/L7,-,5
dynamic/20/L9,50,5
dynamic/20/L10,30,-
dynamic/20/L11,-,80
dynamic/20/L12,-,65
dynamic/20/L13,45,60
dynamic/20/L14,70,-
dynamic/20/L15,90,-
dynamic/20/L16,25,-
dynamic/20/L17,15,80
dynamic/20/L18,-,55
dynamic/20/L19,-,20
dynamic/20/L20,5,-
dynamic/21/Path,BR,DM
dynamic/21/L1,55,-
dynamic/21/L2,20,95
dynamic/21/L3,0,45
dynamic/21/L4,95,0
dynamic/21/L5,95,70
dynamic/21/L6,100,-
dynamic/21/L7,5,85
dynamic/21/L8,-,45
dynamic/21/L9,5,100
dynamic/21/L10,-,10
dynamic/21/L11,80,30
dynamic/21/L12,65,-
dynamic/21/L13,60,5
dynamic/21/L14,-,80
dynamic/21/L17,80,15
dynamic/21/L18,55,-
dynamic/21/L19,20,25
dynamic/22/Rep,-,100
dynamic/22/Path,DM,PM
dynamic/22/L1,-,10
dynamic/22/L2,95,100
dynamic/22/L3,45,0
dynamic/22/L4,0,30
dynamic/22/L5,70,60
dynamic/22/L7,85,30
dynamic/22/L8,45,-
dynamic/22/L9,100,50
dynamic/22/L10,10,30
dynamic/22/L11,30,5
dynamic/22/L12,-,65
dynamic/22/L13,5,-
dynamic/22/L14,80,10
dynamic/22/L16,-,80
dynamic/22/L17,15,45
dynamic/22/L18,-,40
dynamic/22/L20,-,40
dynamic/23/Rep,100,85
dynamic/23/Path,PM,O
dynamic/23/L1,10,-
dynamic/23/L2,100,45
dynamic/23/L3,0,100
dynamic/23/L4,30,-
dynamic/23/L5,60,75
dynamic/23/L7,30,-
dynamic/23/L9,50,5
dynamic/23/L10,30,100
dynamic/23/L11,5,90
dynamic/23/L12,65,60
dynamic/23/L14,10,-
dynamic/23/L15,-,0
dynamic/23/L16,80,45
dynamic/23/L17,45,0
dynamic/23/L18,40,-
dynamic/23/L19,25,-
dynamic/23/L20,40,-
dynamic/24/R.P,2.5,2.6
dynamic/24/Rep,85,65
dynamic/24/TRT,PK,OR
dynamic/24/Path,O,BR
dynamic/24/L1,-,30
dynamic/24/L2,45,-
dynamic/24/L3,100,20
dynamic/24/L5,75,-
dynamic/24/L7,-,30
dynamic/24/L8,-,85
dynamic/24/L9,5,70
dynamic/24/L10,100,0
dynamic/24/L11,90,50
dynamic/24/L12,60,75
dynamic/24/L13,-,90
dynamic/24/L14,-,60
dynamic/24/L15,0,60
dynamic/24/L16,45,25
dynamic/24/L17,0,10
dynamic/24/L20,-,0
dynamic/25/Rep,65,-
dynamic/25/Path,BR,DM
dynamic/25/L1,30,-
dynamic/25/L2,-,20
dynamic/25/L3,20,-
dynamic/25/L4,-,100
dynamic/25/L5,-,10
dynamic/25/L7,30,90
dynamic/25/L8,85,-
dynamic/25/L9,70,-
dynamic/25/L10,0,35
dynamic/25/L11,50,-
dynamic/25/L12,75,60
dynamic/25/L13,90,20
dynamic/25/L14,60,5
dynamic/25/L15,60,65
dynamic/25/L16,25,100
dynamic/25/L17,10,100
dynamic/25/L18,-,5
dynamic/25/L19,-,5
dynamic/25/L20,0,90
dynamic/26/Path,DM,PM
dynamic/26/L2,20,45
dynamic/26/L4,100,-
dynamic/26/L5,이,-
dynamic/26/L6,-,0
dynamic/26/L7,90,85
dynamic/26/L10,35,-
dynamic/26/L11,-,25
dynamic/26/L12,60,10
dynamic/26/L13,20,30
dynamic/26/L14,5,85
dynamic/26/L15,65,95
dynamic/26/L16,100,45
dynamic/26/L17,100,-
dynamic/26/L18,5,35
dynamic/26/L19,5,85
dynamic/26/L20,90,10
dynamic/27/Rep,-,75
dynamic/27/Path,PM,O
dynamic/27/L1,-,65
dynamic/27/L2,45,-
dynamic/27/L6,0,-
dynamic/27/L8,90,30
dynamic/27/L9,-,100
dynamic/27/L11,25,30
dynamic/27/L12,10,25
dynamic/27/L13,30,-
dynamic/27/L14,85,-
dynamic/27/L15,95,20
dynamic/27/L16,45,-
dynamic/27/L18,35,-
dynamic/27/L19,85,40
dynamic/27/L20,10,80
dynamic/28/R.P,2.6,2.7
dynamic/28/Rep,75,50
dynamic/28/Path,O,BR
dynamic/28/L1,65,95
dynamic/28/L2,-,10
dynamic/28/L3,-,40
dynamic/28/L4,-,35
dynamic/28/L5,-,45
dynamic/28/L7,85,-
dynamic/28/L8,30,-
dynamic/28/L9,100,-
dynamic/28/L10,-,60
dynamic/28/L11,30,-
dynamic/28/L12,25,-
dynamic/28/L13,-,100
dynamic/28/L15,20,15
dynamic/28/L17,-,15
dynamic/28/L18,-,95
dynamic/28/L19,40,-
dynamic/28/L20,80,50
dynamic/29/Rep,50,-
dynamic/29/Path,BR,DM
dynamic/29/L1,95,35
dynamic/29/L2,10,0
dynamic/29/L3,40,50
dynamic/29/L4,35,-
dynamic/29/L5,45,-
dynamic/29/L6,-,75
dynamic/29/L8,-,90
dynamic/29/L9,-,90
dynamic/29/L10,60,-
dynamic/29/L13,100,-
dynamic/29/L14,-,5
dynamic/29/L15,15,-
dynamic/29/L16,-,40
dynamic/29/L17,15,40
dynamic/29/L18,95,35
dynamic/29/L19,-,65
dynamic/29/L20,50,35
dynamic/30/Path,DM,PM
dynamic/30/L1,35,-
dynamic/30/L2,0,-
dynamic/30/L3,50,95
dynamic/30/L6,75,-
dynamic/30/L7,-,0
dynamic/30/L8,90,-
dynamic/30/L9,90,45
dynamic/30/L11,-,80
dynamic/30/L12,-,75
dynamic/30/L13,-,25
dynamic/30/L14,5,45
dynamic/30/L15,-,20
dynamic/30/L16,40,-
dynamic/30/L17,40,10
dynamic/30/L18,35,70
dynamic/30/L19,65,10
dynamic/30/L20,35,40
dynamic/31/Rep,-,5
dynamic/31/Path,PM,O
dynamic/31/L2,-,60
dynamic/31/L3,95,80
dynamic/31/L5,-,60
dynamic/31/L6,-,10
dynamic/31/L7,0,5
dynamic/31/L8,-,45
dynamic/31/L9,45,0
dynamic/31/L11,80,-
dynamic/31/L12,75,-
dynamic/31/L13,25,80
dynamic/31/L14,45,-
dynamic/31/L15,20,50
dynamic/31/L16,-,80
dynamic/31/L17,10,-
dynamic/31/L18,70,-
dynamic/31/L19,IO,-
dynamic/31/L20,40,60
dynamic/32/R.P,2.7,2.8
dynamic/32/Rep,5,45
dynamic/32/Path,O,BR
dynamic/32/L1,-,100
dynamic/32/L2,60,85
dynamic/32/L3,80,5
dynamic/32/L4,-,90
dynamic/32/L5,60,70
dynamic/32/L6,10,20
dynamic/32/L7,5,-
dynamic/32/L8,45,-
